keyword,avg_monthly_searches,n,searches_raw,month_counter,month,roll_avg
is tiktok shop legit,5400,5400.0,"[   10    10    10    10    10    10    10    10    20    40   140   170
   210   480  3600  8100  9900 22200 14800 18100 12100 12100 14800 14800
 12100  9900  5400  5400  6600  9900  8100  5400  5400  5400  4400  4400
  3600  5400  5400  6600  6600  8100  8100  5400  4400  5400  5400  5400]",27,2024-08-01,9133
is tiktok shop legit,5400,5400.0,"[   10    10    10    10    10    10    10    10    20    40   140   170
   210   480  3600  8100  9900 22200 14800 18100 12100 12100 14800 14800
 12100  9900  5400  5400  6600  9900  8100  5400  5400  5400  4400  4400
  3600  5400  5400  6600  6600  8100  8100  5400  4400  5400  5400  5400]",28,2024-09-01,6900
is tiktok shop legit,5400,6600.0,"[   10    10    10    10    10    10    10    10    20    40   140   170
   210   480  3600  8100  9900 22200 14800 18100 12100 12100 14800 14800
 12100  9900  5400  5400  6600  9900  8100  5400  5400  5400  4400  4400
  3600  5400  5400  6600  6600  8100  8100  5400  4400  5400  5400  5400]",29,2024-10-01,5800
is tiktok shop legit,5400,9900.0,"[   10    10    10    10    10    10    10    10    20    40   140   170
   210   480  3600  8100  9900 22200 14800 18100 12100 12100 14800 14800
 12100  9900  5400  5400  6600  9900  8100  5400  5400  5400  4400  4400
  3600  5400  5400  6600  6600  8100  8100  5400  4400  5400  5400  5400]",30,2024-11-01,7300
is tiktok shop legit,5400,8100.0,"[   10    10    10    10    10    10    10    10    20    40   140   170
   210   480  3600  8100  9900 22200 14800 18100 12100 12100 14800 14800
 12100  9900  5400  5400  6600  9900  8100  5400  5400  5400  4400  4400
  3600  5400  5400  6600  6600  8100  8100  5400  4400  5400  5400  5400]",31,2024-12-01,8200
is tiktok shop legit,5400,5400.0,"[   10    10    10    10    10    10    10    10    20    40   140   170
   210   480  3600  8100  9900 22200 14800 18100 12100 12100 14800 14800
 12100  9900  5400  5400  6600  9900  8100  5400  5400  5400  4400  4400
  3600  5400  5400  6600  6600  8100  8100  5400  4400  5400  5400  5400]",32,2025-01-01,7800
is tiktok shop legit,5400,5400.0,"[   10    10    10    10    10    10    10    10    20    40   140   170
   210   480  3600  8100  9900 22200 14800 18100 12100 12100 14800 14800
 12100  9900  5400  5400  6600  9900  8100  5400  5400  5400  4400  4400
  3600  5400  5400  6600  6600  8100  8100  5400  4400  5400  5400  5400]",33,2025-02-01,6300
is tiktok shop legit,5400,5400.0,"[   10    10    10    10    10    10    10    10    20    40   140   170
   210   480  3600  8100  9900 22200 14800 18100 12100 12100 14800 14800
 12100  9900  5400  5400  6600  9900  8100  5400  5400  5400  4400  4400
  3600  5400  5400  6600  6600  8100  8100  5400  4400  5400  5400  5400]",34,2025-03-01,5400
is tiktok shop legit,5400,4400.0,"[   10    10    10    10    10    10    10    10    20    40   140   170
   210   480  3600  8100  9900 22200 14800 18100 12100 12100 14800 14800
 12100  9900  5400  5400  6600  9900  8100  5400  5400  5400  4400  4400
  3600  5400  5400  6600  6600  8100  8100  5400  4400  5400  5400  5400]",35,2025-04-01,5067
is tiktok shop legit,5400,4400.0,"[   10    10    10    10    10    10    10    10    20    40   140   170
   210   480  3600  8100  9900 22200 14800 18100 12100 12100 14800 14800
 12100  9900  5400  5400  6600  9900  8100  5400  5400  5400  4400  4400
  3600  5400  5400  6600  6600  8100  8100  5400  4400  5400  5400  5400]",36,2025-05-01,4733
