platform,month,searches,n_keywords
NTWRK,2022-08-01,10,1
NTWRK,2022-09-01,10,1
NTWRK,2022-10-01,30,1
NTWRK,2022-11-01,10,1
NTWRK,2022-12-01,10,1
NTWRK,2023-01-01,20,1
NTWRK,2023-02-01,10,1
NTWRK,2023-03-01,20,1
NTWRK,2023-04-01,20,1
NTWRK,2023-05-01,20,1
NTWRK,2023-06-01,20,1
NTWRK,2023-07-01,10,1
NTWRK,2023-08-01,10,1
NTWRK,2023-09-01,10,1
NTWRK,2023-10-01,10,1
NTWRK,2023-11-01,10,1
NTWRK,2023-12-01,20,1
NTWRK,2024-01-01,10,1
NTWRK,2024-02-01,20,1
NTWRK,2024-03-01,10,1
NTWRK,2024-04-01,10,1
NTWRK,2024-05-01,10,1
NTWRK,2024-06-01,10,1
NTWRK,2024-07-01,10,1
NTWRK,2024-08-01,10,1
NTWRK,2024-09-01,10,1
NTWRK,2024-10-01,10,1
NTWRK,2024-11-01,20,1
NTWRK,2024-12-01,20,1
NTWRK,2025-01-01,10,1
NTWRK,2025-02-01,10,1
NTWRK,2025-03-01,10,1
NTWRK,2025-04-01,10,1
NTWRK,2025-05-01,10,1
NTWRK,2025-06-01,10,1
NTWRK,2025-07-01,10,1
NTWRK,2025-08-01,20,1
NTWRK,2025-09-01,20,1
NTWRK,2025-10-01,20,1
NTWRK,2025-11-01,20,1
NTWRK,2025-12-01,20,1
NTWRK,2026-01-01,20,1
NTWRK,2026-02-01,30,1
NTWRK,2026-03-01,30,1
NTWRK,2026-04-01,20,1
NTWRK,2026-05-01,20,1
Shopify,2022-06-01,90,7
Shopify,2022-07-01,90,7
Shopify,2022-08-01,140,7
Shopify,2022-09-01,110,7
Shopify,2022-10-01,120,7
Shopify,2022-11-01,110,7
Shopify,2022-12-01,130,7
Shopify,2023-01-01,130,7
Shopify,2023-02-01,80,7
Shopify,2023-03-01,110,7
Shopify,2023-04-01,120,7
Shopify,2023-05-01,100,7
Shopify,2023-06-01,90,7
Shopify,2023-07-01,90,7
Shopify,2023-08-01,80,7
Shopify,2023-09-01,80,7
Shopify,2023-10-01,80,7
Shopify,2023-11-01,90,7
Shopify,2023-12-01,90,7
Shopify,2024-01-01,100,7
Shopify,2024-02-01,100,7
Shopify,2024-03-01,80,7
Shopify,2024-04-01,80,7
Shopify,2024-05-01,90,7
Shopify,2024-06-01,80,7
Shopify,2024-07-01,120,7
Shopify,2024-08-01,70,7
Shopify,2024-09-01,70,7
Shopify,2024-10-01,50,7
Shopify,2024-11-01,60,7
Shopify,2024-12-01,80,7
Shopify,2025-01-01,120,7
Shopify,2025-02-01,100,7
Shopify,2025-03-01,100,7
Shopify,2025-04-01,90,7
Shopify,2025-05-01,80,7
Shopify,2025-06-01,80,7
Shopify,2025-07-01,120,7
Shopify,2025-08-01,60,7
Shopify,2025-09-01,100,7
Shopify,2025-10-01,90,7
Shopify,2025-11-01,70,7
Shopify,2025-12-01,70,7
Shopify,2026-01-01,100,7
Shopify,2026-02-01,70,7
Shopify,2026-03-01,70,7
Shopify,2026-04-01,90,7
Shopify,2026-05-01,90,7
